醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
2101090011,臺北市立聯合醫院附設大同門診部,一般診所（醫務室）,(02)25948971,臺北市大同區昌吉街５２號１至２樓,臺北業務組,4,"復健－物理治療業務,門診診療","兒科,骨科",20281130,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971201
2101100227,臺北市立聯合醫院附設中山門診部,一般診所（醫務室）,(02)25013363,臺北市中山區松江路３６７號１樓,臺北業務組,4,門診診療,兒科,20281130,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971201
2101110027,臺北市立聯合醫院附設內湖門診部,一般診所（醫務室）,(02)27908387,臺北市內湖區民權東路６段９９號之１（１樓）,臺北業務組,4,門診診療,內科,20281104,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971105
2101120014,臺北市立聯合醫院附設南港門診部,一般診所（醫務室）,(02)27868756,臺北市南港區南港路１段３６０號１樓,臺北業務組,4,門診診療,不分科,20281105,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,販售時段為星期一至星期六上午9點至12點,63000,19971106
2101150012,臺北市立聯合醫院附設士林門診部,一般診所（醫務室）,(02)28836268,臺北市士林區中正路４３９號１樓,臺北業務組,4,門診診療,"兒科,泌尿科",20281023,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971024
2101151037,臺北市立聯合醫院附設士林中醫門診部,中醫一般診所,(02)28836268,臺北市士林區中正路４３９號,臺北業務組,4,,,20221128,,,63000,20150115
2101161033,臺北市立聯合醫院附設北投門診部,一般診所（醫務室）,(02)28912670,臺北市北投區公舘路１９８號４樓,臺北業務組,4,"復健－物理治療業務,門診診療","家醫科,眼科,復健科",20290131,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,20050201
2101170050,臺北市立聯合醫院附設信義門診部,一般診所（醫務室）,(02)87804152,臺北市信義區大道路１１６號１樓、２樓,臺北業務組,4,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療","家醫科,內科,牙科",20271201,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971202
2101180038,臺北市立聯合醫院附設中正門診部,一般診所（醫務室）,(02)23210168,臺北市中正區牯嶺街２４號１樓,臺北業務組,4,門診診療,兒科,20281031,星期一上午休診、星期二上午看診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971101
2101191068,臺北市立聯合醫院附設萬華門診部,一般診所（醫務室）,(02)23395384,臺北市萬華區東園街１５２號,臺北業務組,4,門診診療,家醫科,20290131,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,20050201
2101200017,臺北市立聯合醫院附設政大門診部,一般診所（醫務室）,(02)82377441,臺北市文山區指南路２段１１７號,臺北業務組,4,門診診療,不分科,20281031,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971101
2211070014,基隆市立慢性病防治所,一般診所（醫務室）,(02)24230181,基隆市信義區信二路２６６號（１Ｆ）,臺北業務組,4,,,20240630,,,10017,19950301
2238010012,南投縣慢性病防治所,專科診所,(049)2228471,南投縣南投市三和里三和１路１５號,中區業務組,4,門診診療,不分科,20271203,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,國定假日及例假日休診,10008,20071204
2240110018,嘉義縣立慢性病防治所,一般診所（醫務室）,(05)3620568,嘉義縣太保市安仁里祥和二路東段３號,南區業務組,4,門診診療,不分科,20281124,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10010,19961125
2245010013,花蓮縣身心健康及成癮防治所,一般診所（醫務室）,(03)8351885,花蓮縣花蓮市林森路３９１ 號１樓,東區業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10015,19950301
2303240013,臺中市中西區衛生所,一般診所（醫務室）,(04)22223811,臺中市西區民權路１０５號,中區業務組,4,門診診療,家醫科,20260831,星期一上午休診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,66000,20110901
2311010010,基隆市中正區衛生所,一般診所（醫務室）,(02)24621632,基隆市中正區中正路２３６號２樓,臺北業務組,4,門診診療,"不分科,家醫科",20280531,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,19950926
2311020016,基隆市七堵區衛生所,一般診所（醫務室）,(02)24562008,基隆市七堵區光明路２１號１樓之１、２樓,臺北業務組,4,門診診療,,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,19950301
2311030012,基隆市暖暖區衛生所,一般診所（醫務室）,(02)24572630,基隆市暖暖區暖暖街２８１巷９８號,臺北業務組,4,門診診療,不分科,20281001,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,19950301
2311040018,基隆市仁愛區衛生所,一般診所（醫務室）,(02)24311592,基隆市仁愛區光一路２６號,臺北業務組,4,門診診療,,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,19950301
2311050014,基隆市中山區衛生所,一般診所（醫務室）,(02)24229860,基隆市中山區中山二路１５號,臺北業務組,4,門診診療,"不分科,家醫科",20280701,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,20100702
2311060010,基隆市安樂區衛生所,一般診所（醫務室）,(02)24318061,基隆市安樂區安樂路２段１６４號１樓前棟,臺北業務組,4,門診診療,"不分科,牙科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,19950301
2311070016,基隆市信義區衛生所,一般診所（醫務室）,(02)24221633,基隆市信義區信一路６９號,臺北業務組,4,門診診療,不分科,20280331,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,19980401
2312010014,新竹市東區衛生所,一般診所（醫務室）,(03)5236158,新竹市東區民族路４０之２號,北區業務組,4,門診診療,不分科,20280210,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10018,20100211
2312041028,新竹市北區衛生所,一般診所（醫務室）,(03)5353969,新竹市北區國華街六十九號一樓,北區業務組,4,門診診療,不分科,20280210,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10018,20100211
2312050018,新竹市香山衛生所,一般診所（醫務室）,(03)5388109,新竹市香山區牛埔里育德街１８８號２樓,北區業務組,4,門診診療,不分科,20280210,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10018,20100211
2317020010,臺中市東區衛生所,一般診所（醫務室）,(04)22834121,臺中市東區信義街１４２號,中區業務組,4,門診診療,不分科,20271106,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,66000,19951107
2317040012,臺中市南區衛生所,一般診所（醫務室）,(04)22629735,臺中市南區工學路７２號２樓,中區業務組,4,門診診療,不分科,20280331,星期一上午休診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,66000,19970401
2317050018,臺中市北區衛生所,一般診所（醫務室）,(04)22359182,臺中市北區永興街３０１號４樓,中區業務組,4,門診診療,家醫科,20280331,星期一上午休診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,66000,19970401
2317060014,臺中市西屯區衛生所,一般診所（醫務室）,(04)27027068,臺中市西屯區西安里西屯路二段２９９號,中區業務組,4,門診診療,家醫科,20280229,星期一上午休診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,66000,19950301
2317070010,臺中市南屯區衛生所,一般診所（醫務室）,(04)23827640,臺中市南屯區向心南路８１１號１樓,中區業務組,4,門診診療,家醫科,20281231,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午看診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,115／2／14~115／2／22 春節期間暫停看診,66000,20090101
2317080016,臺中市北屯區軍功衛生所,一般診所（醫務室）,(04)22393932,臺中市北屯區軍功路二段１６號,中區業務組,4,門診診療,不分科,20280414,星期一上午休診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,66000,19970415
2317081022,台中市北屯區四民衛生所,一般診所（醫務室）,(04)24211945,臺中市北屯區后庄路１０６２號,中區業務組,4,門診診療,家醫科,20280321,星期一上午休診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,66000,20040322
2321010013,臺南市東區衛生所,一般診所（醫務室）,(06)2673613,臺南市東區龍山里林森路１段４１８號,南區業務組,4,門診診療,不分科,20280326,星期一上午休診、星期二上午看診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10021,19970327
2321020019,臺南市南區衛生所,一般診所（醫務室）,(06)2618578,臺南市南區南都里南和路６號,南區業務組,4,門診診療,"不分科,牙科",20260126,星期一上午看診、星期二上午休診、星期三上午看診、星期四上午休診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10021,19950301
2321030015,臺南市中西區衛生所,一般診所（醫務室）,(06)2252403,臺南市中西區淺草里環河街９４號Ｂ１～３樓,南區業務組,4,門診診療,不分科,20281031,星期一上午休診、星期二上午休診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,自110年7月1日起停售口罩,10021,19950301
2321040011,臺南巿北區衛生所,一般診所（醫務室）,(06)2252404,臺南市北區公園里西華街５０號,南區業務組,4,門診診療,不分科,20280229,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,政府公告之例假日均未提供門診。,10021,19950301
2321060013,台南市安南區衛生所,一般診所（醫務室）,(06)2567406,臺南市安南區淵東里仁安路７０號２樓,南區業務組,4,門診診療,不分科,20280630,星期一上午休診、星期二上午看診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10021,19950301
2321070019,台南市安平區衛生所,一般診所（醫務室）,(06)2996885,臺南市安平區平通里育平路３１０號,南區業務組,4,門診診療,不分科,20280625,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10021,20080626
2322010017,嘉義市東區衛生所,一般診所（醫務室）,(05)2750423,嘉義市東區大雅路二段６２５號,南區業務組,4,"門診診療,婦女人類乳突病毒檢測服務",家醫科,20280822,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,國定假日（春節、端午節，中秋節，國慶日等）及例假日無看診。,10020,19950823
2322020013,嘉義市西區衛生所,一般診所（醫務室）,(05)2337355,嘉義市西區福全里德明路１號,南區業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,公家機關放假即休診,10020,19950301
2331010016,新北市板橋區衛生所,一般診所（醫務室）,(02)22586606,新北市板橋區英士路１９２號,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務,結核病",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
